id,time,mood,circumplex.arousal,circumplex.valence,activity,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,frequency_activity,frequency_appCat.builtin,frequency_appCat.communication,frequency_appCat.entertainment,frequency_appCat.finance,frequency_appCat.game,frequency_appCat.office,frequency_appCat.other,frequency_appCat.social,frequency_appCat.travel,frequency_appCat.unknown,frequency_appCat.utilities,frequency_appCat.weather,frequency_call,frequency_circumplex.arousal,frequency_circumplex.valence,frequency_mood,frequency_screen,frequency_sms
AS14.01,2014-03-20,6.2,0.2,0.2,0.07834922595302846,1.0,0.0,58.110336815969625,121.49897604814186,20.34709353102315,0.0,0.0,0.0,3.1227474944699343,41.60447731339961,0.0,3.832395211665927,3.7420918258939544,0.0,2,42,37,6,0,0,0,2,11,0,1,2,0,1,0,0,0,9,0
AS14.01,2014-03-21,6.2,0.2,0.2,0.11095327906369425,6.0,0.0,399.98998771213763,381.95647422384195,54.58961777299183,14.822238726028372,0.0,10.674350277119455,23.498138319813606,224.50652396359303,41.86347689243504,0.0,59.59762826763226,0.0,23,220,114,19,8,0,3,8,60,13,0,26,0,6,5,5,5,117,0
AS14.01,2014-03-22,6.4,0.6,0.2,0.20407916178132984,3.0,1.0,157.4081473456131,307.88972656167397,6.114728402262137,6.23219542708864,0.0,0.0,17.971049936696243,37.65178917489058,3.645580435968784,0.0,10.799985747089222,0.0,16,94,96,2,3,0,0,7,12,1,0,3,0,3,5,5,5,129,1
AS14.01,2014-03-23,6.8,0.2,0.8,0.1287273474457336,0.0,0.0,184.81431253591435,315.59876566097034,9.277362650697562,9.093738703331852,0.0,0.0,14.343757050316205,58.93376162001042,0.0,0.0,3.436757557060706,3.446361933616529,15,106,98,3,4,0,0,6,18,0,0,1,1,0,5,5,5,101,0
AS14.01,2014-03-24,6.0,0.8,0.0,0.07182386770370246,10.0,0.0,265.89334748080785,608.9952615254394,26.251836342708216,11.248631712737067,0.0,1.3887912413184778,14.903776303475604,150.1480347039026,13.589665793608418,0.0,7.5375401807601605,0.0,24,174,195,8,6,0,1,6,43,5,0,2,0,10,5,5,5,196,0
AS14.01,2014-03-25,6.75,0.5,0.5,0.08637225359324664,0.0,1.0,173.29333418811902,504.82355533285454,6.882473613934427,8.86618081221091,0.0,0.0,17.174924353050592,103.61112811318347,0.0,19.705855350564676,29.15411074559824,0.0,24,103,148,2,4,0,0,6,28,0,8,10,0,0,4,4,4,127,1
AS14.01,2014-03-26,6.6,-0.2,0.6,0.08674546918804726,0.0,0.0,234.86937613860914,599.660055665152,30.069670280244402,12.777650755032699,0.0,0.0,16.170607582714254,142.14912754278774,0.0,0.0,3.5370386045735684,0.0,24,138,191,7,6,0,0,6,37,0,0,1,0,0,5,5,5,174,0
AS14.01,2014-03-27,7.0,0.2,0.8,0.13193401994668444,2.0,1.0,266.9549453042307,479.1685249941448,33.64114935716185,7.8661200575941805,0.0,28.80389804095571,13.614285330569666,45.015397324178736,5.2026410517244654,0.0,27.39092075066114,0.0,22,154,160,9,3,0,12,6,13,2,0,11,0,2,5,5,5,135,1
AS14.01,2014-03-28,6.4,-0.6,0.6,0.08212353734632195,5.0,0.0,227.17077056848777,102.76593784757277,43.724942764325355,17.32628862479525,9.002870331323338,0.0,20.31484603732065,56.10040097003232,63.70686684952498,0.0,29.40408776823806,0.0,24,124,36,11,7,2,0,6,20,19,0,10,0,5,5,5,5,88,0
AS14.01,2014-03-29,8.0,0.2,1.0,0.0626835732709166,4.0,1.0,151.7714521242739,180.33851578158206,54.511285060983745,0.0,0.0,0.0,20.302345642584577,27.658745961621843,7.716700139657097,0.0,61.82015110887861,0.0,24,83,57,15,0,0,0,7,8,3,0,24,0,4,5,5,5,64,1
AS14.01,2014-03-30,7.5,-0.5,0.75,0.045299280261345796,0.0,0.0,95.27108497874146,67.61808115331146,43.003969971682345,0.0,0.0,0.0,14.414308381511256,10.657732293075622,0.0,6.8479186211405345,3.671122732524677,0.0,14,53,21,9,0,0,0,6,3,0,2,1,0,0,4,4,4,27,0
AS14.01,2014-03-31,7.4,0.0,0.6,0.06332445883421818,6.0,0.0,304.6963546237164,403.5837550033396,110.28876342523046,11.495697839949436,3.954622619046964,0.0,32.76974016761266,82.93568050309794,18.098969076417,3.410817625039146,36.24863813625672,0.0,24,174,129,34,6,1,0,11,24,5,1,17,0,6,5,5,5,124,0
AS14.01,2014-04-01,6.0,0.2,0.0,0.1005963010040542,1.0,0.0,376.6550275420188,548.206097031866,71.74776080842014,76.7391113195565,10.897544157173272,8.937042177415094,20.31462183401719,339.26903061254103,55.54384294847338,0.0,68.69372931666514,0.0,24,241,184,24,36,3,3,8,110,14,0,27,0,1,5,5,5,190,0
AS14.01,2014-04-02,6.5,0.0,0.75,0.09262841517518326,4.0,0.0,397.4801269303485,616.257470248469,88.68591036450444,39.83573612723553,0.0,4.516131300445949,54.92622820759921,177.8103045936396,0.0,0.0,39.664819667161495,0.0,24,220,205,29,19,0,1,23,53,0,0,16,0,4,4,4,4,226,0
AS14.01,2014-04-03,6.4,-1.2,0.0,0.046679886145100484,4.0,0.0,408.28933417443284,986.1155667715014,82.41182037052995,8.155069581222811,0.0,0.0,36.473555708765026,220.8011047269827,2.9998238914572446,0.0,29.52790736525263,0.0,24,253,311,26,3,0,0,15,71,1,0,13,0,4,5,5,5,268,0
AS14.01,2014-04-04,6.2,0.2,0.4,0.10962832160757073,2.0,1.0,313.52616019535805,384.99137718182527,56.21642160800054,0.0,0.0,0.0,22.126624737053696,107.44626093519865,16.244417106847223,0.0,24.46007869081588,0.0,24,192,123,16,0,0,0,8,29,7,0,13,0,2,5,5,5,154,1
AS14.01,2014-04-05,6.8,-0.4,0.6,0.10256339197351043,0.0,0.0,159.88433504016604,152.5299894080758,4.348586183571541,0.0,0.0,0.0,16.549966579086817,28.241644891117588,19.381335275512736,0.0,21.683153972261476,0.0,24,93,50,1,0,0,0,7,8,6,0,9,0,0,5,5,5,63,0
AS14.01,2014-04-06,6.5,-0.75,0.5,0.05557123971171488,4.0,0.0,251.57716955211447,212.02790340255615,8.798143570375832,0.0,8.127554465514976,0.0,16.69416816706475,19.053472812486977,0.0,0.0,10.630488467505662,0.0,24,134,70,2,0,2,0,6,5,0,0,5,0,4,4,4,4,91,0
AS14.01,2014-04-07,6.5,-0.5,0.25,0.045526064143387175,1.0,0.0,233.44967101320074,406.94545042553676,18.75306025611119,10.888492785053716,0.0,2.8962986038385057,23.05692157658298,86.14434577078872,4.11491486863346,0.0,11.46144048388611,0.0,24,131,129,6,5,0,1,8,24,1,0,4,0,1,4,4,4,122,0
AS14.01,2014-04-08,6.6,-0.4,-0.2,0.0692297124082266,1.0,0.0,253.94584619273613,587.3805770192553,87.83502651930988,5.902994698724003,0.0,0.0,18.194380610318234,144.21360748734497,0.0,0.0,5.851392128540078,0.0,24,157,193,21,3,0,0,7,45,0,0,2,0,1,5,5,5,212,0
AS14.01,2014-04-09,7.4,-0.8,1.0,0.10538117579147442,4.0,0.0,284.0384902908063,496.92658278500534,47.38730694346455,0.0,0.0,0.0,21.689938850846175,198.23266874723254,0.0,0.0,20.536910242834754,0.0,24,171,162,12,0,0,0,8,64,0,0,5,0,4,5,5,5,201,0
AS14.01,2014-04-10,7.4,-0.4,0.8,0.07014603100033905,7.0,0.0,187.05023414996128,253.42679132125392,39.49600349066144,0.0,0.7222204280456523,3.186146000245282,18.85389547073037,89.72905116284494,0.0,0.0,40.76804819496445,0.0,24,107,75,12,0,1,1,8,30,0,0,15,0,7,5,5,5,92,0
AS14.01,2014-04-11,7.0,-1.2,0.8,0.07109565241091712,0.0,0.0,258.84892512932004,333.89113082282165,55.44993260926415,14.93789952177121,0.0,0.0,12.890653017833799,44.844727342458334,3.5620115255049485,0.0,23.09426993735582,0.0,24,140,121,16,6,0,0,6,13,1,0,9,0,0,5,5,5,123,0
AS14.01,2014-04-12,7.25,-0.75,0.75,0.06605835961614209,0.0,0.0,86.63467405877192,146.19135251135313,55.0866633892242,0.0,0.0,0.0,16.812297869178725,21.78232053867822,1.7969128344688496,0.0,54.00566902868238,0.0,24,54,46,12,0,0,0,7,6,1,0,25,0,0,4,4,4,47,0
AS14.01,2014-04-13,8.0,-1.25,1.0,0.01361340444064982,0.0,0.0,117.30554513550655,75.70290416399706,14.226279429679494,18.834625905633825,0.0,0.0,23.39515489748509,5.758657318132902,0.0,0.0,0.0,0.0,24,71,23,4,9,0,0,11,2,0,0,0,0,0,4,4,4,35,0
AS14.01,2014-04-14,7.2,-1.2,0.6,0.07543202014798524,1.0,1.0,274.04443016622093,415.7696899203567,128.84360014578738,14.714326286145102,0.0,0.0,27.54864799891007,68.76551425751062,5.01668585249414,0.0,83.07648330025313,0.0,24,176,126,29,6,0,0,12,18,2,0,29,0,1,5,5,5,130,1
AS14.01,2014-04-15,6.4,0.0,0.8,0.08290329638325332,8.0,1.0,387.6454021370358,479.7807184517024,66.40434679014791,4.950016043725395,0.0,0.0,15.811522288962495,165.83078594188407,2.236765751956752,0.0,33.559041672244014,0.0,24,237,153,19,3,0,0,6,44,1,0,14,0,8,5,5,5,134,1
AS14.01,2014-04-16,7.2,0.8,0.4,0.10249772616324183,0.0,1.0,251.28512992569648,402.0215885062966,47.85336325922046,0.0,0.0,0.0,12.197314332139053,101.10534483879674,0.0,0.0,27.919120352511065,0.0,24,149,140,18,0,0,0,6,29,0,0,10,0,0,5,5,5,165,1
